Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-09-30 00:00:00,15.19,0.0,0.0
2017-09-30 01:00:00,12.78,0.0,0.0
2017-09-30 02:00:00,12.04,0.0,0.0
2017-09-30 03:00:00,11.07,117.647058823529,100.0
2017-09-30 04:00:00,10.71,117.647058823529,200.0
2017-09-30 05:00:00,11.4,0.0,200.0
2017-09-30 06:00:00,12.91,0.0,200.0
2017-09-30 07:00:00,13.59,0.0,200.0
2017-09-30 08:00:00,15.17,0.0,200.0
2017-09-30 09:00:00,17.29,0.0,200.0
2017-09-30 10:00:00,17.36,0.0,200.0
2017-09-30 11:00:00,17.51,0.0,200.0
2017-09-30 12:00:00,17.0,0.0,200.0
2017-09-30 13:00:00,16.92,0.0,200.0
2017-09-30 14:00:00,16.43,0.0,200.0
2017-09-30 15:00:00,16.52,0.0,200.0
2017-09-30 16:00:00,17.46,0.0,200.0
2017-09-30 17:00:00,17.71,0.0,200.0
2017-09-30 18:00:00,19.66,-117.647058823529,100.0
2017-09-30 19:00:00,21.45,-117.647058823529,0.0
2017-09-30 20:00:00,18.7,0.0,0.0
2017-09-30 21:00:00,16.69,0.0,0.0
2017-09-30 22:00:00,13.9,0.0,0.0
2017-09-30 23:00:00,13.65,0.0,0.0
