Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
03/27/2017 00:00,CAPITL,61757,29.3,0.58,-17.81
03/27/2017 00:00,CENTRL,61754,13.01,0.31,-1.8
03/27/2017 00:00,DUNWOD,61760,24.36,1.03,-12.43
03/27/2017 00:00,GENESE,61753,12.24,-0.11,-1.44
03/27/2017 00:00,H Q,61844,10.52,-0.39,0.0
03/27/2017 00:00,HUD VL,61758,24.17,0.96,-12.3
03/27/2017 00:00,LONGIL,61762,24.83,1.48,-12.44
03/27/2017 00:00,MHK VL,61756,12.85,0.2,-1.75
03/27/2017 00:00,MILLWD,61759,24.48,1.0,-12.57
03/27/2017 00:00,N.Y.C.,61761,24.47,1.13,-12.43
03/27/2017 00:00,NORTH,61755,10.3,-0.61,0.0
03/27/2017 00:00,NPX,61845,26.67,0.77,-14.98
03/27/2017 00:00,O H,61846,12.69,-0.2,-1.98
03/27/2017 00:00,PJM,61847,18.13,0.43,-6.8
03/27/2017 00:00,WEST,61752,12.75,-0.05,-1.89
03/27/2017 01:00,CAPITL,61757,27.34,0.57,-16.07
03/27/2017 01:00,CENTRL,61754,12.63,0.3,-1.62
03/27/2017 01:00,DUNWOD,61760,22.93,1.01,-11.21
03/27/2017 01:00,GENESE,61753,11.9,-0.11,-1.3
03/27/2017 01:00,H Q,61844,10.33,-0.39,0.0
03/27/2017 01:00,HUD VL,61758,22.76,0.95,-11.1
03/27/2017 01:00,LONGIL,61762,23.27,1.35,-11.21
03/27/2017 01:00,MHK VL,61756,12.48,0.19,-1.58
03/27/2017 01:00,MILLWD,61759,23.04,0.98,-11.34
03/27/2017 01:00,N.Y.C.,61761,23.02,1.1,-11.21
03/27/2017 01:00,NORTH,61755,10.11,-0.6,0.0
03/27/2017 01:00,NPX,61845,24.98,0.76,-13.51
03/27/2017 01:00,O H,61846,12.29,-0.2,-1.78
03/27/2017 01:00,PJM,61847,17.25,0.41,-6.13
03/27/2017 01:00,WEST,61752,12.36,-0.05,-1.71
03/27/2017 02:00,CAPITL,61757,27.23,0.56,-16.01
03/27/2017 02:00,CENTRL,61754,12.58,0.31,-1.62
03/27/2017 02:00,DUNWOD,61760,22.82,0.99,-11.17
03/27/2017 02:00,GENESE,61753,11.85,-0.1,-1.29
03/27/2017 02:00,H Q,61844,10.26,-0.39,0.0
03/27/2017 02:00,HUD VL,61758,22.66,0.95,-11.06
03/27/2017 02:00,LONGIL,61762,23.15,1.32,-11.17
03/27/2017 02:00,MHK VL,61756,12.42,0.19,-1.57
03/27/2017 02:00,MILLWD,61759,22.94,0.98,-11.3
03/27/2017 02:00,N.Y.C.,61761,22.91,1.09,-11.17
03/27/2017 02:00,NORTH,61755,10.0,-0.65,0.0
03/27/2017 02:00,NPX,61845,24.88,0.76,-13.47
03/27/2017 02:00,O H,61846,12.28,-0.15,-1.78
03/27/2017 02:00,PJM,61847,17.19,0.43,-6.11
03/27/2017 02:00,WEST,61752,12.36,0.01,-1.7
03/27/2017 03:00,CAPITL,61757,27.08,0.56,-15.87
03/27/2017 03:00,CENTRL,61754,12.53,0.29,-1.6
03/27/2017 03:00,DUNWOD,61760,22.71,0.99,-11.07
03/27/2017 03:00,GENESE,61753,11.78,-0.15,-1.28
03/27/2017 03:00,H Q,61844,10.26,-0.38,0.0
03/27/2017 03:00,HUD VL,61758,22.54,0.94,-10.96
03/27/2017 03:00,LONGIL,61762,23.04,1.32,-11.07
03/27/2017 03:00,MHK VL,61756,12.39,0.19,-1.56
03/27/2017 03:00,MILLWD,61759,22.81,0.97,-11.2
03/27/2017 03:00,N.Y.C.,61761,22.79,1.07,-11.07
03/27/2017 03:00,NORTH,61755,10.01,-0.63,0.0
03/27/2017 03:00,NPX,61845,24.73,0.74,-13.35
03/27/2017 03:00,O H,61846,12.17,-0.23,-1.76
03/27/2017 03:00,PJM,61847,17.08,0.38,-6.06
03/27/2017 03:00,WEST,61752,12.24,-0.09,-1.68
03/27/2017 04:00,CAPITL,61757,27.22,0.59,-15.98
03/27/2017 04:00,CENTRL,61754,12.59,0.32,-1.61
03/27/2017 04:00,DUNWOD,61760,22.78,0.98,-11.15
03/27/2017 04:00,GENESE,61753,11.84,-0.11,-1.29
03/27/2017 04:00,H Q,61844,10.26,-0.39,0.0
03/27/2017 04:00,HUD VL,61758,22.63,0.94,-11.03
03/27/2017 04:00,LONGIL,61762,23.14,1.34,-11.15
03/27/2017 04:00,MHK VL,61756,12.42,0.2,-1.57
03/27/2017 04:00,MILLWD,61759,22.89,0.96,-11.28
03/27/2017 04:00,N.Y.C.,61761,22.88,1.08,-11.15
03/27/2017 04:00,NORTH,61755,9.97,-0.68,0.0
03/27/2017 04:00,NPX,61845,24.84,0.75,-13.44
03/27/2017 04:00,O H,61846,12.23,-0.19,-1.77
03/27/2017 04:00,PJM,61847,17.16,0.4,-6.1
03/27/2017 04:00,WEST,61752,12.32,-0.03,-1.7
03/27/2017 05:00,CAPITL,61757,28.28,0.66,-16.52
03/27/2017 05:00,CENTRL,61754,13.12,0.34,-1.67
03/27/2017 05:00,DUNWOD,61760,23.66,1.03,-11.53
03/27/2017 05:00,GENESE,61753,12.36,-0.08,-1.34
03/27/2017 05:00,H Q,61844,10.68,-0.42,0.0
03/27/2017 05:00,HUD VL,61758,23.49,0.98,-11.41
03/27/2017 05:00,LONGIL,61762,24.1,1.47,-11.53
03/27/2017 05:00,MHK VL,61756,12.95,0.22,-1.62
03/27/2017 05:00,MILLWD,61759,23.77,1.01,-11.66
03/27/2017 05:00,N.Y.C.,61761,23.77,1.14,-11.52
03/27/2017 05:00,NORTH,61755,10.38,-0.72,0.0
03/27/2017 05:00,NPX,61845,25.81,0.81,-13.89
03/27/2017 05:00,O H,61846,12.75,-0.19,-1.83
03/27/2017 05:00,PJM,61847,17.85,0.44,-6.3
03/27/2017 05:00,WEST,61752,12.87,0.01,-1.75
03/27/2017 06:00,CAPITL,61757,28.3,1.63,0.0
03/27/2017 06:00,CENTRL,61754,27.53,0.85,0.0
03/27/2017 06:00,DUNWOD,61760,29.53,2.86,0.0
03/27/2017 06:00,GENESE,61753,26.46,-0.21,0.0
03/27/2017 06:00,H Q,61844,25.63,-1.04,0.0
03/27/2017 06:00,HUD VL,61758,29.37,2.69,0.0
03/27/2017 06:00,LONGIL,61762,32.38,3.95,-1.76
03/27/2017 06:00,MHK VL,61756,27.45,0.77,0.0
03/27/2017 06:00,MILLWD,61759,29.47,2.8,0.0
03/27/2017 06:00,N.Y.C.,61761,29.77,3.09,0.0
03/27/2017 06:00,NORTH,61755,24.94,-1.73,0.0
03/27/2017 06:00,NPX,61845,28.91,2.24,0.0
03/27/2017 06:00,O H,61846,25.71,-0.96,0.0
03/27/2017 06:00,PJM,61847,27.8,1.09,-0.03
03/27/2017 06:00,WEST,61752,26.25,-0.43,0.0
03/27/2017 07:00,CAPITL,61757,34.4,2.07,0.0
03/27/2017 07:00,CENTRL,61754,33.46,1.13,0.0
03/27/2017 07:00,DUNWOD,61760,35.76,3.43,0.0
03/27/2017 07:00,GENESE,61753,32.24,-0.1,0.0
03/27/2017 07:00,H Q,61844,31.07,-1.26,0.0
03/27/2017 07:00,HUD VL,61758,35.54,3.2,0.0
03/27/2017 07:00,LONGIL,61762,37.57,4.82,-0.42
03/27/2017 07:00,MHK VL,61756,33.24,0.9,0.0
03/27/2017 07:00,MILLWD,61759,35.76,3.43,0.0
03/27/2017 07:00,N.Y.C.,61761,36.05,3.72,0.0
03/27/2017 07:00,NORTH,61755,30.26,-2.07,0.0
03/27/2017 07:00,NPX,61845,35.11,2.78,0.0
03/27/2017 07:00,O H,61846,31.4,-0.94,0.0
03/27/2017 07:00,PJM,61847,33.66,1.33,0.0
03/27/2017 07:00,WEST,61752,32.11,-0.22,0.0
03/27/2017 08:00,CAPITL,61757,34.26,2.18,0.0
03/27/2017 08:00,CENTRL,61754,32.91,0.83,0.0
03/27/2017 08:00,DUNWOD,61760,35.67,3.59,0.0
03/27/2017 08:00,GENESE,61753,31.6,-0.48,0.0
03/27/2017 08:00,H Q,61844,30.93,-1.22,-0.07
03/27/2017 08:00,HUD VL,61758,35.41,3.34,0.0
03/27/2017 08:00,LONGIL,61762,37.52,5.0,-0.44
03/27/2017 08:00,MHK VL,61756,32.84,0.77,0.0
03/27/2017 08:00,MILLWD,61759,35.67,3.59,0.0
03/27/2017 08:00,N.Y.C.,61761,35.99,3.91,0.0
03/27/2017 08:00,NORTH,61755,30.06,-2.02,0.0
03/27/2017 08:00,NPX,61845,35.09,2.95,-0.07
03/27/2017 08:00,O H,61846,30.57,-1.57,-0.07
03/27/2017 08:00,PJM,61847,33.14,1.0,-0.07
03/27/2017 08:00,WEST,61752,31.14,-0.93,0.0
03/27/2017 09:00,CAPITL,61757,38.43,2.07,-4.93
03/27/2017 09:00,CENTRL,61754,32.45,0.79,-0.24
03/27/2017 09:00,DUNWOD,61760,38.41,3.46,-3.52
03/27/2017 09:00,GENESE,61753,31.05,-0.56,-0.19
03/27/2017 09:00,H Q,61844,30.23,-1.13,0.07
03/27/2017 09:00,HUD VL,61758,38.04,3.17,-3.44
