Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
10/11/2017 00:00,CAPITL,61757,21.76,1.35,0.0
10/11/2017 00:00,CENTRL,61754,20.51,0.1,0.0
10/11/2017 00:00,DUNWOD,61760,22.86,2.45,0.0
10/11/2017 00:00,GENESE,61753,20.0,-0.41,0.0
10/11/2017 00:00,H Q,61844,19.76,-0.65,0.0
10/11/2017 00:00,HUD VL,61758,22.72,2.31,0.0
10/11/2017 00:00,LONGIL,61762,29.98,3.2,-6.37
10/11/2017 00:00,MHK VL,61756,20.72,0.31,0.0
10/11/2017 00:00,MILLWD,61759,22.82,2.41,0.0
10/11/2017 00:00,N.Y.C.,61761,27.31,2.65,-4.24
10/11/2017 00:00,NORTH,61755,19.31,-1.1,0.0
10/11/2017 00:00,NPX,61845,22.68,2.27,0.0
10/11/2017 00:00,O H,61846,19.88,-0.53,0.0
10/11/2017 00:00,PJM,61847,22.77,1.33,-1.03
10/11/2017 00:00,WEST,61752,20.27,-0.14,0.0
10/11/2017 01:00,CAPITL,61757,19.15,1.18,-0.41
10/11/2017 01:00,CENTRL,61754,17.63,0.04,-0.04
10/11/2017 01:00,DUNWOD,61760,20.05,2.18,-0.31
10/11/2017 01:00,GENESE,61753,17.13,-0.46,-0.03
10/11/2017 01:00,H Q,61844,17.0,-0.56,0.0
10/11/2017 01:00,HUD VL,61758,19.91,2.04,-0.31
10/11/2017 01:00,LONGIL,61762,26.0,2.79,-5.64
10/11/2017 01:00,MHK VL,61756,17.85,0.25,-0.04
10/11/2017 01:00,MILLWD,61759,20.02,2.14,-0.31
10/11/2017 01:00,N.Y.C.,61761,26.5,2.34,-6.6
10/11/2017 01:00,NORTH,61755,16.61,-0.95,0.0
10/11/2017 01:00,NPX,61845,19.92,2.0,-0.35
10/11/2017 01:00,O H,61846,17.05,-0.54,-0.04
10/11/2017 01:00,PJM,61847,20.46,1.16,-1.74
10/11/2017 01:00,WEST,61752,17.37,-0.23,-0.03
10/11/2017 02:00,CAPITL,61757,19.11,1.07,-1.3
10/11/2017 02:00,CENTRL,61754,16.89,0.03,-0.11
10/11/2017 02:00,DUNWOD,61760,19.77,2.06,-0.98
10/11/2017 02:00,GENESE,61753,16.35,-0.47,-0.08
10/11/2017 02:00,H Q,61844,16.19,-0.55,0.0
10/11/2017 02:00,HUD VL,61758,19.66,1.94,-0.98
10/11/2017 02:00,LONGIL,61762,23.56,2.64,-4.18
10/11/2017 02:00,MHK VL,61756,17.11,0.23,-0.13
10/11/2017 02:00,MILLWD,61759,19.73,2.01,-0.98
10/11/2017 02:00,N.Y.C.,61761,21.5,2.21,-2.55
10/11/2017 02:00,NORTH,61755,15.82,-0.92,0.0
10/11/2017 02:00,NPX,61845,19.72,1.87,-1.11
10/11/2017 02:00,O H,61846,16.3,-0.55,-0.11
10/11/2017 02:00,PJM,61847,18.86,1.09,-1.03
10/11/2017 02:00,WEST,61752,16.56,-0.28,-0.11
10/11/2017 03:00,CAPITL,61757,17.99,1.01,-1.3
10/11/2017 03:00,CENTRL,61754,15.82,0.02,-0.11
10/11/2017 03:00,DUNWOD,61760,18.61,1.95,-0.98
10/11/2017 03:00,GENESE,61753,15.31,-0.47,-0.08
10/11/2017 03:00,H Q,61844,15.18,-0.52,0.0
10/11/2017 03:00,HUD VL,61758,18.49,1.82,-0.98
10/11/2017 03:00,LONGIL,61762,23.45,2.46,-5.29
10/11/2017 03:00,MHK VL,61756,16.05,0.22,-0.13
10/11/2017 03:00,MILLWD,61759,18.57,1.9,-0.98
10/11/2017 03:00,N.Y.C.,61761,18.78,2.1,-0.98
10/11/2017 03:00,NORTH,61755,14.83,-0.86,0.0
10/11/2017 03:00,NPX,61845,18.58,1.77,-1.11
10/11/2017 03:00,O H,61846,15.25,-0.55,-0.11
10/11/2017 03:00,PJM,61847,17.36,1.02,-0.65
10/11/2017 03:00,WEST,61752,15.5,-0.3,-0.11
10/11/2017 04:00,CAPITL,61757,17.86,1.01,-1.11
10/11/2017 04:00,CENTRL,61754,15.89,0.05,-0.1
10/11/2017 04:00,DUNWOD,61760,18.53,1.95,-0.83
10/11/2017 04:00,GENESE,61753,15.38,-0.44,-0.07
10/11/2017 04:00,H Q,61844,15.23,-0.52,0.0
10/11/2017 04:00,HUD VL,61758,18.41,1.83,-0.83
10/11/2017 04:00,LONGIL,61762,23.36,2.49,-5.12
10/11/2017 04:00,MHK VL,61756,16.08,0.22,-0.11
10/11/2017 04:00,MILLWD,61759,18.5,1.92,-0.84
10/11/2017 04:00,N.Y.C.,61761,18.7,2.11,-0.84
10/11/2017 04:00,NORTH,61755,14.83,-0.91,0.0
10/11/2017 04:00,NPX,61845,18.47,1.78,-0.95
10/11/2017 04:00,O H,61846,15.32,-0.52,-0.09
10/11/2017 04:00,PJM,61847,17.34,1.04,-0.56
10/11/2017 04:00,WEST,61752,15.6,-0.24,-0.09
10/11/2017 05:00,CAPITL,61757,20.51,1.23,0.0
10/11/2017 05:00,CENTRL,61754,19.41,0.14,0.0
10/11/2017 05:00,DUNWOD,61760,21.57,2.29,0.0
10/11/2017 05:00,GENESE,61753,18.85,-0.42,0.0
10/11/2017 05:00,H Q,61844,18.62,-0.66,0.0
10/11/2017 05:00,HUD VL,61758,21.43,2.16,0.0
10/11/2017 05:00,LONGIL,61762,27.57,3.04,-5.25
10/11/2017 05:00,MHK VL,61756,19.58,0.31,0.0
10/11/2017 05:00,MILLWD,61759,21.55,2.27,0.0
10/11/2017 05:00,N.Y.C.,61761,21.77,2.49,-0.01
10/11/2017 05:00,NORTH,61755,18.2,-1.08,0.0
