Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
09/23/2017 00:00,CAPITL,61757,22.23,1.17,-0.54
09/23/2017 00:00,CENTRL,61754,20.88,0.37,0.0
09/23/2017 00:00,DUNWOD,61760,22.81,2.3,0.0
09/23/2017 00:00,GENESE,61753,20.72,0.21,0.0
09/23/2017 00:00,H Q,61844,11.45,-0.61,8.45
09/23/2017 00:00,HUD VL,61758,22.56,2.05,0.0
09/23/2017 00:00,LONGIL,61762,26.67,3.02,-3.14
09/23/2017 00:00,MHK VL,61756,20.46,0.68,0.73
09/23/2017 00:00,MILLWD,61759,22.77,2.26,0.0
09/23/2017 00:00,N.Y.C.,61761,27.26,2.52,-4.23
09/23/2017 00:00,NORTH,61755,6.02,-0.57,13.92
09/23/2017 00:00,NPX,61845,22.05,1.54,0.0
09/23/2017 00:00,O H,61846,20.74,0.23,0.0
09/23/2017 00:00,PJM,61847,22.6,1.4,-0.69
09/23/2017 00:00,WEST,61752,21.21,0.7,0.0
09/23/2017 01:00,CAPITL,61757,19.69,1.21,-0.45
09/23/2017 01:00,CENTRL,61754,18.3,0.27,0.0
09/23/2017 01:00,DUNWOD,61760,20.04,2.0,0.0
09/23/2017 01:00,GENESE,61753,18.11,0.07,0.0
09/23/2017 01:00,H Q,61844,10.28,-0.52,7.23
09/23/2017 01:00,HUD VL,61758,19.82,1.79,0.0
09/23/2017 01:00,LONGIL,61762,20.64,2.6,-0.01
09/23/2017 01:00,MHK VL,61756,17.99,0.56,0.61
09/23/2017 01:00,MILLWD,61759,20.0,1.97,0.0
09/23/2017 01:00,N.Y.C.,61761,20.26,2.22,-0.01
09/23/2017 01:00,NORTH,61755,6.02,-0.49,11.53
09/23/2017 01:00,NPX,61845,19.44,1.41,0.0
09/23/2017 01:00,O H,61846,18.14,0.11,0.0
09/23/2017 01:00,PJM,61847,19.21,1.17,0.0
09/23/2017 01:00,WEST,61752,18.52,0.49,0.0
09/23/2017 02:00,CAPITL,61757,17.36,1.08,-0.37
09/23/2017 02:00,CENTRL,61754,16.11,0.21,0.0
09/23/2017 02:00,DUNWOD,61760,17.59,1.69,0.0
