Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
12/18/2017 05:00,N.Y.C.,61761,29.28,1.78,-10.4
12/18/2017 05:00,NORTH,61755,16.46,-0.63,0.0
12/18/2017 05:00,NPX,61845,51.7,1.42,-33.19
12/18/2017 05:00,O H,61846,18.21,-0.51,-1.63
12/18/2017 05:00,PJM,61847,25.28,0.82,-7.36
12/18/2017 05:00,WEST,61752,18.54,-0.12,-1.57
12/18/2017 06:00,CAPITL,61757,32.98,2.01,0.0
12/18/2017 06:00,CENTRL,61754,31.21,0.25,0.0
12/18/2017 06:00,DUNWOD,61760,33.88,2.91,0.0
12/18/2017 06:00,GENESE,61753,30.35,-0.62,0.0
12/18/2017 06:00,H Q,61844,30.22,-0.74,0.0
12/18/2017 06:00,HUD VL,61758,33.69,2.73,0.0
12/18/2017 06:00,LONGIL,61762,63.91,3.81,-29.14
12/18/2017 06:00,MHK VL,61756,32.02,1.05,0.0
12/18/2017 06:00,MILLWD,61759,33.91,2.94,0.0
12/18/2017 06:00,N.Y.C.,61761,34.15,3.19,0.0
12/18/2017 06:00,NORTH,61755,30.44,-0.53,0.0
12/18/2017 06:00,NPX,61845,62.95,2.48,-29.51
12/18/2017 06:00,O H,61846,29.57,-1.39,0.0
12/18/2017 06:00,PJM,61847,31.27,1.18,0.87
12/18/2017 06:00,WEST,61752,30.38,-0.59,0.0
12/18/2017 07:00,CAPITL,61757,35.76,1.86,0.0
12/18/2017 07:00,CENTRL,61754,33.89,0.0,0.0
12/18/2017 07:00,DUNWOD,61760,36.98,3.08,0.0
12/18/2017 07:00,GENESE,61753,32.84,-1.05,0.0
12/18/2017 07:00,H Q,61844,33.32,-0.58,0.0
12/18/2017 07:00,HUD VL,61758,36.71,2.81,0.0
12/18/2017 07:00,LONGIL,61762,71.75,4.0,-33.86
12/18/2017 07:00,MHK VL,61756,35.05,1.15,0.0
12/18/2017 07:00,MILLWD,61759,37.01,3.12,0.0
12/18/2017 07:00,N.Y.C.,61761,37.35,3.46,0.0
12/18/2017 07:00,NORTH,61755,33.49,-0.41,0.0
12/18/2017 07:00,NPX,61845,59.09,2.47,-22.72
12/18/2017 07:00,O H,61846,31.62,-2.27,0.0
12/18/2017 07:00,PJM,61847,34.77,0.88,0.0
12/18/2017 07:00,WEST,61752,32.5,-1.39,0.0
12/18/2017 08:00,CAPITL,61757,36.47,2.2,0.0
12/18/2017 08:00,CENTRL,61754,34.38,0.1,0.0
12/18/2017 08:00,DUNWOD,61760,37.81,3.53,0.0
12/18/2017 08:00,GENESE,61753,33.11,-1.17,0.0
12/18/2017 08:00,H Q,61844,33.56,-0.72,0.0
12/18/2017 08:00,HUD VL,61758,37.47,3.19,0.0
12/18/2017 08:00,LONGIL,61762,71.83,4.45,-33.09
12/18/2017 08:00,MHK VL,61756,35.48,1.2,0.0
12/18/2017 08:00,MILLWD,61759,37.84,3.56,0.0
12/18/2017 08:00,N.Y.C.,61761,38.2,3.91,-0.01
12/18/2017 08:00,NORTH,61755,33.56,-0.72,0.0
12/18/2017 08:00,NPX,61845,60.59,2.78,-23.54
12/18/2017 08:00,O H,61846,32.05,-2.23,0.0
12/18/2017 08:00,PJM,61847,35.41,1.13,0.0
12/18/2017 08:00,WEST,61752,32.98,-1.3,0.0
12/18/2017 09:00,CAPITL,61757,36.21,2.2,-2.07
