Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-01-07 00:00:00,54.77,0.0,0.0
2017-01-07 01:00:00,53.15,0.0,0.0
2017-01-07 02:00:00,46.62,0.0,0.0
2017-01-07 03:00:00,44.08,117.647058823529,100.0
2017-01-07 04:00:00,44.74,117.647058823529,200.0
2017-01-07 05:00:00,47.37,0.0,200.0
2017-01-07 06:00:00,52.5,0.0,200.0
2017-01-07 07:00:00,54.93,0.0,200.0
2017-01-07 08:00:00,59.67,0.0,200.0
2017-01-07 09:00:00,68.23,0.0,200.0
2017-01-07 10:00:00,73.0,0.0,200.0
2017-01-07 11:00:00,68.06,0.0,200.0
2017-01-07 12:00:00,65.83,0.0,200.0
2017-01-07 13:00:00,60.67,0.0,200.0
2017-01-07 14:00:00,59.0,0.0,200.0
2017-01-07 15:00:00,54.31,0.0,200.0
2017-01-07 16:00:00,68.33,0.0,200.0
2017-01-07 17:00:00,84.42,-117.647058823529,100.0
2017-01-07 18:00:00,78.6,-117.647058823529,0.0
2017-01-07 19:00:00,72.5,0.0,0.0
2017-01-07 20:00:00,69.46,0.0,0.0
2017-01-07 21:00:00,67.26,0.0,0.0
2017-01-07 22:00:00,66.09,0.0,0.0
2017-01-07 23:00:00,55.77,0.0,0.0
