Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-01-15 00:00:00,33.21,0.0,0.0
2017-01-15 01:00:00,32.89,0.0,0.0
2017-01-15 02:00:00,29.3,0.0,0.0
2017-01-15 03:00:00,28.62,117.647058823529,100.0
2017-01-15 04:00:00,28.64,117.647058823529,200.0
2017-01-15 05:00:00,29.48,0.0,200.0
2017-01-15 06:00:00,30.67,0.0,200.0
2017-01-15 07:00:00,32.37,0.0,200.0
2017-01-15 08:00:00,35.04,0.0,200.0
2017-01-15 09:00:00,39.14,0.0,200.0
2017-01-15 10:00:00,38.14,0.0,200.0
2017-01-15 11:00:00,36.65,0.0,200.0
2017-01-15 12:00:00,37.05,0.0,200.0
2017-01-15 13:00:00,36.09,0.0,200.0
2017-01-15 14:00:00,33.67,0.0,200.0
2017-01-15 15:00:00,33.27,0.0,200.0
2017-01-15 16:00:00,39.68,0.0,200.0
2017-01-15 17:00:00,53.12,-117.647058823529,100.0
2017-01-15 18:00:00,48.17,-117.647058823529,0.0
2017-01-15 19:00:00,44.97,0.0,0.0
2017-01-15 20:00:00,41.51,0.0,0.0
2017-01-15 21:00:00,38.47,0.0,0.0
2017-01-15 22:00:00,34.32,0.0,0.0
2017-01-15 23:00:00,32.04,0.0,0.0
