Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-10-16 00:00:00,23.56,0.0,0.0
2017-10-16 01:00:00,21.08,0.0,0.0
2017-10-16 02:00:00,20.29,0.0,0.0
2017-10-16 03:00:00,18.65,0.0,0.0
2017-10-16 04:00:00,18.49,117.647058823529,100.0
2017-10-16 05:00:00,18.32,117.647058823529,200.0
2017-10-16 06:00:00,28.83,0.0,200.0
2017-10-16 07:00:00,29.35,0.0,200.0
2017-10-16 08:00:00,28.79,0.0,200.0
2017-10-16 09:00:00,32.55,0.0,200.0
2017-10-16 10:00:00,33.09,0.0,200.0
2017-10-16 11:00:00,32.71,0.0,200.0
2017-10-16 12:00:00,32.26,0.0,200.0
2017-10-16 13:00:00,32.23,0.0,200.0
2017-10-16 14:00:00,32.0,0.0,200.0
2017-10-16 15:00:00,34.12,0.0,200.0
2017-10-16 16:00:00,35.44,0.0,200.0
2017-10-16 17:00:00,37.15,0.0,200.0
2017-10-16 18:00:00,39.67,-117.647058823529,100.0
2017-10-16 19:00:00,40.01,-117.647058823529,0.0
2017-10-16 20:00:00,33.88,0.0,0.0
2017-10-16 21:00:00,28.87,0.0,0.0
2017-10-16 22:00:00,23.07,0.0,0.0
2017-10-16 23:00:00,20.71,0.0,0.0
