Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-10-01 00:00:00,13.15,0.0,0.0
2017-10-01 01:00:00,9.93,0.0,0.0
2017-10-01 02:00:00,9.06,0.0,0.0
2017-10-01 03:00:00,7.73,0.0,0.0
2017-10-01 04:00:00,7.58,117.647058823529,100.0
2017-10-01 05:00:00,6.67,117.647058823529,200.0
2017-10-01 06:00:00,8.36,0.0,200.0
2017-10-01 07:00:00,9.73,0.0,200.0
2017-10-01 08:00:00,12.28,0.0,200.0
2017-10-01 09:00:00,16.82,0.0,200.0
2017-10-01 10:00:00,17.9,0.0,200.0
2017-10-01 11:00:00,18.74,0.0,200.0
2017-10-01 12:00:00,17.74,0.0,200.0
2017-10-01 13:00:00,17.7,0.0,200.0
2017-10-01 14:00:00,17.63,0.0,200.0
2017-10-01 15:00:00,19.29,0.0,200.0
2017-10-01 16:00:00,19.87,0.0,200.0
2017-10-01 17:00:00,20.31,0.0,200.0
2017-10-01 18:00:00,23.69,-117.647058823529,100.0
2017-10-01 19:00:00,24.02,-117.647058823529,0.0
2017-10-01 20:00:00,23.0,0.0,0.0
2017-10-01 21:00:00,20.51,0.0,0.0
2017-10-01 22:00:00,19.26,0.0,0.0
2017-10-01 23:00:00,12.18,0.0,0.0
