Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-10-14 00:00:00,19.21,0.0,0.0
2017-10-14 01:00:00,21.63,0.0,0.0
2017-10-14 02:00:00,19.69,0.0,0.0
2017-10-14 03:00:00,17.67,0.0,0.0
2017-10-14 04:00:00,17.0,117.647058823529,100.0
2017-10-14 05:00:00,17.12,117.647058823529,200.0
2017-10-14 06:00:00,18.85,0.0,200.0
2017-10-14 07:00:00,20.83,0.0,200.0
2017-10-14 08:00:00,24.74,0.0,200.0
2017-10-14 09:00:00,27.8,0.0,200.0
2017-10-14 10:00:00,30.55,0.0,200.0
2017-10-14 11:00:00,29.84,0.0,200.0
2017-10-14 12:00:00,29.41,0.0,200.0
2017-10-14 13:00:00,29.35,0.0,200.0
2017-10-14 14:00:00,31.0,0.0,200.0
2017-10-14 15:00:00,31.05,0.0,200.0
2017-10-14 16:00:00,31.83,0.0,200.0
2017-10-14 17:00:00,33.75,0.0,200.0
2017-10-14 18:00:00,34.85,-117.647058823529,100.0
2017-10-14 19:00:00,37.38,-117.647058823529,0.0
2017-10-14 20:00:00,32.8,0.0,0.0
2017-10-14 21:00:00,28.4,0.0,0.0
2017-10-14 22:00:00,25.31,0.0,0.0
2017-10-14 23:00:00,24.9,0.0,0.0
