Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-12-19 00:00:00,29.66,0.0,0.0
2017-12-19 01:00:00,27.01,0.0,0.0
2017-12-19 02:00:00,26.66,0.0,0.0
2017-12-19 03:00:00,25.84,117.647058823529,100.0
2017-12-19 04:00:00,26.49,117.647058823529,200.0
2017-12-19 05:00:00,28.89,0.0,200.0
2017-12-19 06:00:00,33.42,0.0,200.0
2017-12-19 07:00:00,35.69,0.0,200.0
2017-12-19 08:00:00,35.08,0.0,200.0
2017-12-19 09:00:00,35.66,0.0,200.0
2017-12-19 10:00:00,34.97,0.0,200.0
2017-12-19 11:00:00,34.25,0.0,200.0
2017-12-19 12:00:00,33.19,0.0,200.0
2017-12-19 13:00:00,30.91,0.0,200.0
2017-12-19 14:00:00,30.53,0.0,200.0
2017-12-19 15:00:00,31.35,0.0,200.0
2017-12-19 16:00:00,39.88,0.0,200.0
2017-12-19 17:00:00,47.8,-117.647058823529,100.0
2017-12-19 18:00:00,44.12,-117.647058823529,0.0
2017-12-19 19:00:00,38.56,0.0,0.0
2017-12-19 20:00:00,35.51,0.0,0.0
2017-12-19 21:00:00,30.52,0.0,0.0
2017-12-19 22:00:00,28.44,0.0,0.0
2017-12-19 23:00:00,27.76,0.0,0.0
