Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-12-01 00:00:00,22.27,0.0,0.0
2017-12-01 01:00:00,21.63,0.0,0.0
2017-12-01 02:00:00,21.19,117.647058823529,100.0
2017-12-01 03:00:00,20.5,117.647058823529,200.0
2017-12-01 04:00:00,21.61,0.0,200.0
2017-12-01 05:00:00,22.98,0.0,200.0
2017-12-01 06:00:00,31.11,0.0,200.0
2017-12-01 07:00:00,32.66,0.0,200.0
2017-12-01 08:00:00,31.8,0.0,200.0
2017-12-01 09:00:00,31.91,0.0,200.0
2017-12-01 10:00:00,30.25,0.0,200.0
2017-12-01 11:00:00,29.76,0.0,200.0
2017-12-01 12:00:00,29.33,0.0,200.0
2017-12-01 13:00:00,27.38,0.0,200.0
2017-12-01 14:00:00,26.67,0.0,200.0
2017-12-01 15:00:00,27.59,0.0,200.0
2017-12-01 16:00:00,33.99,0.0,200.0
2017-12-01 17:00:00,40.55,-117.647058823529,100.0
2017-12-01 18:00:00,37.74,-117.647058823529,0.0
2017-12-01 19:00:00,34.74,0.0,0.0
2017-12-01 20:00:00,30.45,0.0,0.0
2017-12-01 21:00:00,28.0,0.0,0.0
2017-12-01 22:00:00,24.42,0.0,0.0
2017-12-01 23:00:00,23.17,0.0,0.0
