Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-12-23 00:00:00,28.08,0.0,0.0
2017-12-23 01:00:00,26.07,0.0,0.0
2017-12-23 02:00:00,23.62,117.647058823529,100.0
2017-12-23 03:00:00,23.24,117.647058823529,200.0
2017-12-23 04:00:00,23.81,0.0,200.0
2017-12-23 05:00:00,24.16,0.0,200.0
2017-12-23 06:00:00,26.13,0.0,200.0
2017-12-23 07:00:00,28.88,0.0,200.0
2017-12-23 08:00:00,30.24,0.0,200.0
2017-12-23 09:00:00,32.09,0.0,200.0
2017-12-23 10:00:00,34.51,0.0,200.0
2017-12-23 11:00:00,34.28,0.0,200.0
2017-12-23 12:00:00,32.68,0.0,200.0
2017-12-23 13:00:00,31.87,0.0,200.0
2017-12-23 14:00:00,31.01,0.0,200.0
2017-12-23 15:00:00,30.1,0.0,200.0
2017-12-23 16:00:00,37.21,0.0,200.0
2017-12-23 17:00:00,46.91,-117.647058823529,100.0
2017-12-23 18:00:00,43.05,-117.647058823529,0.0
2017-12-23 19:00:00,41.3,0.0,0.0
2017-12-23 20:00:00,36.44,0.0,0.0
2017-12-23 21:00:00,32.63,0.0,0.0
2017-12-23 22:00:00,29.88,0.0,0.0
2017-12-23 23:00:00,28.32,0.0,0.0
