Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-01-13 00:00:00,21.75,0.0,0.0
2017-01-13 01:00:00,20.36,0.0,0.0
2017-01-13 02:00:00,19.64,117.647058823529,100.0
2017-01-13 03:00:00,19.58,117.647058823529,200.0
2017-01-13 04:00:00,19.93,0.0,200.0
2017-01-13 05:00:00,22.27,0.0,200.0
2017-01-13 06:00:00,27.94,0.0,200.0
2017-01-13 07:00:00,32.38,0.0,200.0
2017-01-13 08:00:00,33.5,0.0,200.0
2017-01-13 09:00:00,33.6,0.0,200.0
2017-01-13 10:00:00,33.15,0.0,200.0
2017-01-13 11:00:00,33.32,0.0,200.0
2017-01-13 12:00:00,31.36,0.0,200.0
2017-01-13 13:00:00,31.26,0.0,200.0
2017-01-13 14:00:00,31.51,0.0,200.0
2017-01-13 15:00:00,31.79,0.0,200.0
2017-01-13 16:00:00,38.33,0.0,200.0
2017-01-13 17:00:00,50.64,-117.647058823529,100.0
2017-01-13 18:00:00,47.13,-117.647058823529,0.0
2017-01-13 19:00:00,42.99,0.0,0.0
2017-01-13 20:00:00,38.86,0.0,0.0
2017-01-13 21:00:00,36.44,0.0,0.0
2017-01-13 22:00:00,32.36,0.0,0.0
2017-01-13 23:00:00,28.8,0.0,0.0
2017-01-05 00:00:00,35.3,0.0,0.0
2017-01-05 01:00:00,33.08,0.0,0.0
2017-01-05 02:00:00,30.49,117.647058823529,100.0
2017-01-05 03:00:00,30.38,117.647058823529,200.0
2017-01-05 04:00:00,31.72,0.0,200.0
2017-01-05 05:00:00,33.17,0.0,200.0
2017-01-05 06:00:00,40.7,0.0,200.0
2017-01-05 07:00:00,47.12,0.0,200.0
2017-01-05 08:00:00,46.83,0.0,200.0
2017-01-05 09:00:00,48.66,0.0,200.0
2017-01-05 10:00:00,50.82,0.0,200.0
2017-01-05 11:00:00,49.43,0.0,200.0
2017-01-05 12:00:00,47.34,0.0,200.0
2017-01-05 13:00:00,45.75,0.0,200.0
2017-01-05 14:00:00,45.24,0.0,200.0
2017-01-05 15:00:00,45.51,0.0,200.0
2017-01-05 16:00:00,50.46,0.0,200.0
2017-01-05 17:00:00,61.25,-117.647058823529,100.0
2017-01-05 18:00:00,58.25,-117.647058823529,0.0
2017-01-05 19:00:00,53.14,0.0,0.0
2017-01-05 20:00:00,48.24,0.0,0.0
2017-01-05 21:00:00,45.48,0.0,0.0
2017-01-05 22:00:00,42.11,0.0,0.0
2017-01-05 23:00:00,39.26,0.0,0.0
2017-01-21 00:00:00,28.69,0.0,0.0
2017-01-21 01:00:00,25.77,0.0,0.0
2017-01-21 02:00:00,24.03,117.647058823529,100.0
2017-01-21 03:00:00,24.5,0.0,100.0
2017-01-21 04:00:00,24.07,117.647058823529,200.0
2017-01-21 05:00:00,26.39,0.0,200.0
2017-01-21 06:00:00,26.26,0.0,200.0
2017-01-21 07:00:00,26.58,0.0,200.0
2017-01-21 08:00:00,31.75,0.0,200.0
2017-01-21 09:00:00,32.56,0.0,200.0
2017-01-21 10:00:00,31.55,0.0,200.0
2017-01-21 11:00:00,31.6,0.0,200.0
2017-01-21 12:00:00,29.01,0.0,200.0
2017-01-21 13:00:00,28.42,0.0,200.0
2017-01-21 14:00:00,27.43,0.0,200.0
2017-01-21 15:00:00,27.99,0.0,200.0
2017-01-21 16:00:00,30.76,0.0,200.0
2017-01-21 17:00:00,43.55,-117.647058823529,100.0
2017-01-21 18:00:00,41.86,-117.647058823529,0.0
2017-01-21 19:00:00,35.32,0.0,0.0
2017-01-21 20:00:00,32.08,0.0,0.0
2017-01-21 21:00:00,30.27,0.0,0.0
2017-01-21 22:00:00,28.03,0.0,0.0
2017-01-21 23:00:00,27.33,0.0,0.0
2017-01-26 00:00:00,27.09,0.0,0.0
2017-01-26 01:00:00,25.36,0.0,0.0
2017-01-26 02:00:00,24.13,117.647058823529,100.0
2017-01-26 03:00:00,24.62,117.647058823529,200.0
2017-01-26 04:00:00,24.68,0.0,200.0
2017-01-26 05:00:00,25.92,0.0,200.0
2017-01-26 06:00:00,29.01,0.0,200.0
2017-01-26 07:00:00,33.08,0.0,200.0
2017-01-26 08:00:00,32.0,0.0,200.0
2017-01-26 09:00:00,31.88,0.0,200.0
2017-01-26 10:00:00,31.43,0.0,200.0
2017-01-26 11:00:00,30.49,0.0,200.0
2017-01-26 12:00:00,28.58,0.0,200.0
2017-01-26 13:00:00,27.85,0.0,200.0
2017-01-26 14:00:00,27.0,0.0,200.0
2017-01-26 15:00:00,28.69,0.0,200.0
2017-01-26 16:00:00,33.01,0.0,200.0
2017-01-26 17:00:00,45.84,-117.647058823529,100.0
2017-01-26 18:00:00,42.83,-117.647058823529,0.0
2017-01-26 19:00:00,36.5,0.0,0.0
2017-01-26 20:00:00,31.28,0.0,0.0
2017-01-26 21:00:00,29.6,0.0,0.0
2017-01-26 22:00:00,27.8,0.0,0.0
2017-01-26 23:00:00,26.0,0.0,0.0
2017-01-02 00:00:00,36.16,0.0,0.0
2017-01-02 01:00:00,35.07,0.0,0.0
2017-01-02 02:00:00,30.14,0.0,0.0
2017-01-02 03:00:00,27.35,117.647058823529,100.0
2017-01-02 04:00:00,29.9,0.0,100.0
2017-01-02 05:00:00,29.9,117.647058823529,200.0
2017-01-02 06:00:00,32.03,0.0,200.0
2017-01-02 07:00:00,35.55,0.0,200.0
2017-01-02 08:00:00,38.98,0.0,200.0
2017-01-02 09:00:00,43.58,0.0,200.0
2017-01-02 10:00:00,39.17,0.0,200.0
