Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-04-11 00:00:00,23.85,0.0,0.0
2017-04-11 01:00:00,22.55,0.0,0.0
2017-04-11 02:00:00,21.23,0.0,0.0
2017-04-11 03:00:00,20.67,117.647058823529,100.0
2017-04-11 04:00:00,21.51,0.0,100.0
2017-04-11 05:00:00,20.94,117.647058823529,200.0
2017-04-11 06:00:00,26.42,0.0,200.0
2017-04-11 07:00:00,40.05,0.0,200.0
2017-04-11 08:00:00,42.64,0.0,200.0
2017-04-11 09:00:00,44.17,0.0,200.0
2017-04-11 10:00:00,42.02,0.0,200.0
2017-04-11 11:00:00,48.32,0.0,200.0
2017-04-11 12:00:00,50.57,0.0,200.0
2017-04-11 13:00:00,48.17,0.0,200.0
2017-04-11 14:00:00,48.36,0.0,200.0
2017-04-11 15:00:00,46.95,0.0,200.0
2017-04-11 16:00:00,52.28,-117.647058823529,100.0
2017-04-11 17:00:00,50.08,0.0,100.0
2017-04-11 18:00:00,45.49,0.0,100.0
2017-04-11 19:00:00,49.06,0.0,100.0
2017-04-11 20:00:00,54.41,-117.647058823529,0.0
2017-04-11 21:00:00,41.34,0.0,0.0
2017-04-11 22:00:00,33.04,0.0,0.0
2017-04-11 23:00:00,25.11,0.0,0.0
