Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-08-25 00:00:00,22.67,0.0,0.0
2017-08-25 01:00:00,18.16,0.0,0.0
2017-08-25 02:00:00,16.37,0.0,0.0
2017-08-25 03:00:00,15.57,117.647058823529,100.0
2017-08-25 04:00:00,15.94,117.647058823529,200.0
2017-08-25 05:00:00,16.39,0.0,200.0
2017-08-25 06:00:00,20.06,0.0,200.0
2017-08-25 07:00:00,23.7,0.0,200.0
2017-08-25 08:00:00,27.35,0.0,200.0
2017-08-25 09:00:00,31.6,0.0,200.0
2017-08-25 10:00:00,32.08,0.0,200.0
2017-08-25 11:00:00,32.33,0.0,200.0
2017-08-25 12:00:00,32.97,0.0,200.0
2017-08-25 13:00:00,33.39,0.0,200.0
2017-08-25 14:00:00,33.34,0.0,200.0
2017-08-25 15:00:00,34.34,-117.647058823529,100.0
2017-08-25 16:00:00,34.43,-117.647058823529,0.0
2017-08-25 17:00:00,34.09,0.0,0.0
2017-08-25 18:00:00,32.34,0.0,0.0
2017-08-25 19:00:00,29.67,0.0,0.0
2017-08-25 20:00:00,28.92,0.0,0.0
2017-08-25 21:00:00,26.56,0.0,0.0
2017-08-25 22:00:00,24.38,0.0,0.0
2017-08-25 23:00:00,22.31,0.0,0.0
