Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-08-23 00:00:00,30.86,0.0,0.0
2017-08-23 01:00:00,26.54,0.0,0.0
2017-08-23 02:00:00,23.0,0.0,0.0
2017-08-23 03:00:00,21.0,117.647058823529,100.0
2017-08-23 04:00:00,21.04,117.647058823529,200.0
2017-08-23 05:00:00,22.6,0.0,200.0
2017-08-23 06:00:00,26.1,0.0,200.0
2017-08-23 07:00:00,35.47,0.0,200.0
2017-08-23 08:00:00,36.65,0.0,200.0
2017-08-23 09:00:00,40.94,0.0,200.0
2017-08-23 10:00:00,37.65,0.0,200.0
2017-08-23 11:00:00,39.13,0.0,200.0
2017-08-23 12:00:00,40.94,0.0,200.0
2017-08-23 13:00:00,42.79,0.0,200.0
2017-08-23 14:00:00,44.89,0.0,200.0
2017-08-23 15:00:00,48.02,0.0,200.0
2017-08-23 16:00:00,49.23,-117.647058823529,100.0
2017-08-23 17:00:00,48.03,-117.647058823529,0.0
2017-08-23 18:00:00,39.82,0.0,0.0
2017-08-23 19:00:00,38.46,0.0,0.0
2017-08-23 20:00:00,37.27,0.0,0.0
2017-08-23 21:00:00,35.71,0.0,0.0
2017-08-23 22:00:00,33.28,0.0,0.0
2017-08-23 23:00:00,31.05,0.0,0.0
