Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-05-15 00:00:00,24.58,0.0,0.0
2017-05-15 01:00:00,22.62,0.0,0.0
2017-05-15 02:00:00,19.88,0.0,0.0
2017-05-15 03:00:00,19.46,117.647058823529,100.0
2017-05-15 04:00:00,19.85,117.647058823529,200.0
2017-05-15 05:00:00,21.62,0.0,200.0
2017-05-15 06:00:00,27.32,0.0,200.0
2017-05-15 07:00:00,30.9,0.0,200.0
2017-05-15 08:00:00,34.5,0.0,200.0
2017-05-15 09:00:00,34.81,0.0,200.0
2017-05-15 10:00:00,34.81,0.0,200.0
2017-05-15 11:00:00,34.98,0.0,200.0
2017-05-15 12:00:00,34.43,0.0,200.0
2017-05-15 13:00:00,34.62,0.0,200.0
2017-05-15 14:00:00,34.63,0.0,200.0
2017-05-15 15:00:00,35.8,0.0,200.0
2017-05-15 16:00:00,36.61,0.0,200.0
2017-05-15 17:00:00,38.66,-117.647058823529,100.0
2017-05-15 18:00:00,35.22,0.0,100.0
2017-05-15 19:00:00,35.4,0.0,100.0
2017-05-15 20:00:00,37.9,-117.647058823529,0.0
2017-05-15 21:00:00,34.57,0.0,0.0
2017-05-15 22:00:00,28.97,0.0,0.0
2017-05-15 23:00:00,25.09,0.0,0.0
