Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-05-24 00:00:00,22.64,0.0,0.0
2017-05-24 01:00:00,19.0,0.0,0.0
2017-05-24 02:00:00,14.93,0.0,0.0
2017-05-24 03:00:00,13.75,117.647058823529,100.0
2017-05-24 04:00:00,13.83,117.647058823529,200.0
2017-05-24 05:00:00,15.88,0.0,200.0
2017-05-24 06:00:00,24.88,0.0,200.0
2017-05-24 07:00:00,35.15,0.0,200.0
2017-05-24 08:00:00,38.68,0.0,200.0
2017-05-24 09:00:00,40.3,0.0,200.0
2017-05-24 10:00:00,39.77,0.0,200.0
2017-05-24 11:00:00,39.86,0.0,200.0
2017-05-24 12:00:00,39.58,0.0,200.0
2017-05-24 13:00:00,40.79,0.0,200.0
2017-05-24 14:00:00,41.07,0.0,200.0
2017-05-24 15:00:00,41.17,0.0,200.0
2017-05-24 16:00:00,41.33,-117.647058823529,100.0
2017-05-24 17:00:00,41.29,-117.647058823529,0.0
2017-05-24 18:00:00,39.77,0.0,0.0
2017-05-24 19:00:00,38.53,0.0,0.0
2017-05-24 20:00:00,38.48,0.0,0.0
2017-05-24 21:00:00,36.69,0.0,0.0
2017-05-24 22:00:00,28.99,0.0,0.0
2017-05-24 23:00:00,18.96,0.0,0.0
