Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-05-13 00:00:00,28.9,0.0,0.0
2017-05-13 01:00:00,24.02,0.0,0.0
2017-05-13 02:00:00,21.96,0.0,0.0
2017-05-13 03:00:00,20.99,117.647058823529,100.0
2017-05-13 04:00:00,20.86,117.647058823529,200.0
2017-05-13 05:00:00,21.31,0.0,200.0
2017-05-13 06:00:00,25.46,0.0,200.0
2017-05-13 07:00:00,29.09,0.0,200.0
2017-05-13 08:00:00,31.02,0.0,200.0
2017-05-13 09:00:00,34.93,0.0,200.0
2017-05-13 10:00:00,36.36,0.0,200.0
2017-05-13 11:00:00,38.14,0.0,200.0
2017-05-13 12:00:00,36.84,0.0,200.0
2017-05-13 13:00:00,36.0,0.0,200.0
2017-05-13 14:00:00,34.52,0.0,200.0
2017-05-13 15:00:00,34.44,0.0,200.0
2017-05-13 16:00:00,35.62,0.0,200.0
2017-05-13 17:00:00,39.17,0.0,200.0
2017-05-13 18:00:00,38.27,0.0,200.0
2017-05-13 19:00:00,40.85,-117.647058823529,100.0
2017-05-13 20:00:00,41.22,-117.647058823529,0.0
2017-05-13 21:00:00,37.05,0.0,0.0
2017-05-13 22:00:00,32.36,0.0,0.0
2017-05-13 23:00:00,28.93,0.0,0.0
