Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-02-02 00:00:00,28.48,0.0,0.0
2017-02-02 01:00:00,26.65,0.0,0.0
2017-02-02 02:00:00,26.08,117.647058823529,100.0
2017-02-02 03:00:00,26.36,117.647058823529,200.0
2017-02-02 04:00:00,26.99,0.0,200.0
2017-02-02 05:00:00,28.31,0.0,200.0
2017-02-02 06:00:00,36.71,0.0,200.0
2017-02-02 07:00:00,38.03,0.0,200.0
2017-02-02 08:00:00,35.14,0.0,200.0
2017-02-02 09:00:00,35.46,0.0,200.0
2017-02-02 10:00:00,36.78,0.0,200.0
2017-02-02 11:00:00,36.97,0.0,200.0
2017-02-02 12:00:00,34.71,0.0,200.0
2017-02-02 13:00:00,33.84,0.0,200.0
2017-02-02 14:00:00,33.58,0.0,200.0
2017-02-02 15:00:00,34.16,0.0,200.0
2017-02-02 16:00:00,39.49,0.0,200.0
2017-02-02 17:00:00,50.25,-117.647058823529,100.0
2017-02-02 18:00:00,48.83,-117.647058823529,0.0
2017-02-02 19:00:00,44.86,0.0,0.0
2017-02-02 20:00:00,40.15,0.0,0.0
2017-02-02 21:00:00,38.3,0.0,0.0
2017-02-02 22:00:00,35.46,0.0,0.0
2017-02-02 23:00:00,31.88,0.0,0.0
