Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-02-09 00:00:00,28.22,0.0,0.0
2017-02-09 01:00:00,26.07,0.0,0.0
2017-02-09 02:00:00,25.43,117.647058823529,100.0
2017-02-09 03:00:00,24.76,117.647058823529,200.0
2017-02-09 04:00:00,26.11,0.0,200.0
2017-02-09 05:00:00,28.35,0.0,200.0
2017-02-09 06:00:00,35.6,0.0,200.0
2017-02-09 07:00:00,41.92,0.0,200.0
2017-02-09 08:00:00,42.09,0.0,200.0
2017-02-09 09:00:00,43.47,0.0,200.0
2017-02-09 10:00:00,43.48,0.0,200.0
2017-02-09 11:00:00,43.24,0.0,200.0
2017-02-09 12:00:00,41.0,0.0,200.0
2017-02-09 13:00:00,40.41,0.0,200.0
2017-02-09 14:00:00,39.28,0.0,200.0
2017-02-09 15:00:00,39.03,0.0,200.0
2017-02-09 16:00:00,40.75,0.0,200.0
2017-02-09 17:00:00,53.08,-117.647058823529,100.0
2017-02-09 18:00:00,53.28,-117.647058823529,0.0
2017-02-09 19:00:00,48.25,0.0,0.0
2017-02-09 20:00:00,43.6,0.0,0.0
2017-02-09 21:00:00,40.04,0.0,0.0
2017-02-09 22:00:00,38.16,0.0,0.0
2017-02-09 23:00:00,34.93,0.0,0.0
