Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-02-07 00:00:00,27.35,0.0,0.0
2017-02-07 01:00:00,25.68,0.0,0.0
2017-02-07 02:00:00,24.48,117.647058823529,100.0
2017-02-07 03:00:00,23.83,117.647058823529,200.0
2017-02-07 04:00:00,24.7,0.0,200.0
2017-02-07 05:00:00,26.86,0.0,200.0
2017-02-07 06:00:00,32.95,0.0,200.0
2017-02-07 07:00:00,34.49,0.0,200.0
2017-02-07 08:00:00,34.62,0.0,200.0
2017-02-07 09:00:00,35.07,0.0,200.0
2017-02-07 10:00:00,35.34,0.0,200.0
2017-02-07 11:00:00,35.12,0.0,200.0
2017-02-07 12:00:00,33.05,0.0,200.0
2017-02-07 13:00:00,32.18,0.0,200.0
2017-02-07 14:00:00,31.39,0.0,200.0
2017-02-07 15:00:00,31.0,0.0,200.0
2017-02-07 16:00:00,34.21,0.0,200.0
2017-02-07 17:00:00,43.51,-117.647058823529,100.0
2017-02-07 18:00:00,43.67,-117.647058823529,0.0
2017-02-07 19:00:00,37.35,0.0,0.0
2017-02-07 20:00:00,32.28,0.0,0.0
2017-02-07 21:00:00,30.22,0.0,0.0
2017-02-07 22:00:00,28.17,0.0,0.0
2017-02-07 23:00:00,27.58,0.0,0.0
