Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-11-26 00:00:00,20.53,0.0,0.0
2017-11-26 01:00:00,15.76,0.0,0.0
2017-11-26 02:00:00,14.27,0.0,0.0
2017-11-26 03:00:00,13.56,117.647058823529,100.0
2017-11-26 04:00:00,13.76,117.647058823529,200.0
2017-11-26 05:00:00,14.45,0.0,200.0
2017-11-26 06:00:00,14.45,0.0,200.0
2017-11-26 07:00:00,17.79,0.0,200.0
2017-11-26 08:00:00,19.47,0.0,200.0
2017-11-26 09:00:00,23.34,0.0,200.0
2017-11-26 10:00:00,23.61,0.0,200.0
2017-11-26 11:00:00,24.05,0.0,200.0
2017-11-26 12:00:00,23.91,0.0,200.0
2017-11-26 13:00:00,23.54,0.0,200.0
2017-11-26 14:00:00,22.56,0.0,200.0
2017-11-26 15:00:00,19.03,0.0,200.0
2017-11-26 16:00:00,30.84,0.0,200.0
2017-11-26 17:00:00,38.2,-117.647058823529,100.0
2017-11-26 18:00:00,35.19,-117.647058823529,0.0
2017-11-26 19:00:00,33.36,0.0,0.0
2017-11-26 20:00:00,30.16,0.0,0.0
2017-11-26 21:00:00,25.44,0.0,0.0
2017-11-26 22:00:00,20.99,0.0,0.0
2017-11-26 23:00:00,20.62,0.0,0.0
