Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-11-11 00:00:00,51.12,0.0,0.0
2017-11-11 01:00:00,47.24,0.0,0.0
2017-11-11 02:00:00,45.77,0.0,0.0
2017-11-11 03:00:00,43.36,117.647058823529,100.0
2017-11-11 04:00:00,43.89,117.647058823529,200.0
2017-11-11 05:00:00,47.37,0.0,200.0
2017-11-11 06:00:00,53.69,0.0,200.0
2017-11-11 07:00:00,53.51,0.0,200.0
2017-11-11 08:00:00,54.73,0.0,200.0
2017-11-11 09:00:00,55.17,0.0,200.0
2017-11-11 10:00:00,56.04,0.0,200.0
2017-11-11 11:00:00,51.53,0.0,200.0
2017-11-11 12:00:00,49.3,0.0,200.0
2017-11-11 13:00:00,47.32,0.0,200.0
2017-11-11 14:00:00,46.54,0.0,200.0
2017-11-11 15:00:00,47.57,0.0,200.0
2017-11-11 16:00:00,56.16,0.0,200.0
2017-11-11 17:00:00,68.57,-117.647058823529,100.0
2017-11-11 18:00:00,65.0,-117.647058823529,0.0
2017-11-11 19:00:00,61.89,0.0,0.0
2017-11-11 20:00:00,58.66,0.0,0.0
2017-11-11 21:00:00,54.02,0.0,0.0
2017-11-11 22:00:00,49.46,0.0,0.0
2017-11-11 23:00:00,43.99,0.0,0.0
