Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-03-27 00:00:00,24.47,0.0,0.0
2017-03-27 01:00:00,23.02,0.0,0.0
2017-03-27 02:00:00,22.91,0.0,0.0
2017-03-27 03:00:00,22.79,117.647058823529,100.0
2017-03-27 04:00:00,22.88,117.647058823529,200.0
2017-03-27 05:00:00,23.77,0.0,200.0
2017-03-27 06:00:00,29.77,0.0,200.0
2017-03-27 07:00:00,36.05,0.0,200.0
2017-03-27 08:00:00,35.99,0.0,200.0
2017-03-27 09:00:00,38.75,0.0,200.0
2017-03-27 10:00:00,36.92,0.0,200.0
2017-03-27 11:00:00,37.27,0.0,200.0
2017-03-27 12:00:00,35.13,0.0,200.0
2017-03-27 13:00:00,32.77,0.0,200.0
2017-03-27 14:00:00,31.23,0.0,200.0
2017-03-27 15:00:00,31.06,0.0,200.0
2017-03-27 16:00:00,31.75,0.0,200.0
2017-03-27 17:00:00,33.97,0.0,200.0
2017-03-27 18:00:00,37.63,0.0,200.0
2017-03-27 19:00:00,44.18,-117.647058823529,100.0
2017-03-27 20:00:00,40.0,-117.647058823529,0.0
2017-03-27 21:00:00,33.23,0.0,0.0
2017-03-27 22:00:00,26.35,0.0,0.0
2017-03-27 23:00:00,24.34,0.0,0.0
