Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-03-31 00:00:00,26.1,0.0,0.0
2017-03-31 01:00:00,25.75,0.0,0.0
2017-03-31 02:00:00,24.11,117.647058823529,100.0
2017-03-31 03:00:00,24.12,0.0,100.0
2017-03-31 04:00:00,23.91,117.647058823529,200.0
2017-03-31 05:00:00,26.21,0.0,200.0
2017-03-31 06:00:00,33.41,0.0,200.0
2017-03-31 07:00:00,41.78,-117.647058823529,100.0
2017-03-31 08:00:00,41.14,0.0,100.0
2017-03-31 09:00:00,41.14,0.0,100.0
2017-03-31 10:00:00,41.04,0.0,100.0
2017-03-31 11:00:00,40.4,0.0,100.0
2017-03-31 12:00:00,37.17,0.0,100.0
2017-03-31 13:00:00,36.35,0.0,100.0
2017-03-31 14:00:00,35.48,0.0,100.0
2017-03-31 15:00:00,34.51,0.0,100.0
2017-03-31 16:00:00,34.94,0.0,100.0
2017-03-31 17:00:00,36.44,0.0,100.0
2017-03-31 18:00:00,38.11,0.0,100.0
2017-03-31 19:00:00,42.82,-117.647058823529,0.0
2017-03-31 20:00:00,40.64,0.0,0.0
2017-03-31 21:00:00,34.76,0.0,0.0
2017-03-31 22:00:00,31.5,0.0,0.0
2017-03-31 23:00:00,29.01,0.0,0.0
