Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-07-28 00:00:00,21.52,0.0,0.0
2017-07-28 01:00:00,18.74,0.0,0.0
2017-07-28 02:00:00,16.33,0.0,0.0
2017-07-28 03:00:00,15.17,117.647058823529,100.0
2017-07-28 04:00:00,15.68,117.647058823529,200.0
2017-07-28 05:00:00,16.28,0.0,200.0
2017-07-28 06:00:00,20.14,0.0,200.0
2017-07-28 07:00:00,22.18,0.0,200.0
2017-07-28 08:00:00,23.8,0.0,200.0
2017-07-28 09:00:00,27.49,0.0,200.0
2017-07-28 10:00:00,28.56,0.0,200.0
2017-07-28 11:00:00,31.26,0.0,200.0
2017-07-28 12:00:00,32.42,0.0,200.0
2017-07-28 13:00:00,35.57,0.0,200.0
2017-07-28 14:00:00,35.41,0.0,200.0
2017-07-28 15:00:00,43.52,-117.647058823529,100.0
2017-07-28 16:00:00,39.21,-117.647058823529,0.0
2017-07-28 17:00:00,39.02,0.0,0.0
2017-07-28 18:00:00,33.4,0.0,0.0
2017-07-28 19:00:00,32.23,0.0,0.0
2017-07-28 20:00:00,31.77,0.0,0.0
2017-07-28 21:00:00,27.58,0.0,0.0
2017-07-28 22:00:00,26.08,0.0,0.0
2017-07-28 23:00:00,23.09,0.0,0.0
