Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-07-20 00:00:00,38.98,0.0,0.0
2017-07-20 01:00:00,32.57,0.0,0.0
2017-07-20 02:00:00,31.07,0.0,0.0
2017-07-20 03:00:00,25.31,117.647058823529,100.0
2017-07-20 04:00:00,24.88,117.647058823529,200.0
2017-07-20 05:00:00,26.81,0.0,200.0
2017-07-20 06:00:00,28.87,0.0,200.0
2017-07-20 07:00:00,35.55,0.0,200.0
2017-07-20 08:00:00,40.71,0.0,200.0
2017-07-20 09:00:00,43.67,0.0,200.0
2017-07-20 10:00:00,49.08,0.0,200.0
2017-07-20 11:00:00,53.8,0.0,200.0
2017-07-20 12:00:00,62.3,0.0,200.0
2017-07-20 13:00:00,62.41,0.0,200.0
2017-07-20 14:00:00,78.2,0.0,200.0
2017-07-20 15:00:00,81.6,-117.647058823529,100.0
2017-07-20 16:00:00,88.0,-117.647058823529,0.0
2017-07-20 17:00:00,80.0,0.0,0.0
2017-07-20 18:00:00,60.16,0.0,0.0
2017-07-20 19:00:00,56.9,0.0,0.0
2017-07-20 20:00:00,54.7,0.0,0.0
2017-07-20 21:00:00,50.6,0.0,0.0
2017-07-20 22:00:00,48.49,0.0,0.0
2017-07-20 23:00:00,37.0,0.0,0.0
