Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-07-06 00:00:00,22.86,0.0,0.0
2017-07-06 01:00:00,20.84,0.0,0.0
2017-07-06 02:00:00,17.77,0.0,0.0
2017-07-06 03:00:00,16.23,117.647058823529,100.0
2017-07-06 04:00:00,16.77,117.647058823529,200.0
2017-07-06 05:00:00,16.82,0.0,200.0
2017-07-06 06:00:00,21.17,0.0,200.0
2017-07-06 07:00:00,24.95,0.0,200.0
2017-07-06 08:00:00,30.89,0.0,200.0
2017-07-06 09:00:00,31.57,0.0,200.0
2017-07-06 10:00:00,33.48,0.0,200.0
2017-07-06 11:00:00,34.77,0.0,200.0
2017-07-06 12:00:00,36.63,0.0,200.0
2017-07-06 13:00:00,39.41,0.0,200.0
2017-07-06 14:00:00,38.9,0.0,200.0
2017-07-06 15:00:00,42.08,-117.647058823529,100.0
2017-07-06 16:00:00,41.79,-117.647058823529,0.0
2017-07-06 17:00:00,41.73,0.0,0.0
2017-07-06 18:00:00,38.66,0.0,0.0
2017-07-06 19:00:00,36.22,0.0,0.0
2017-07-06 20:00:00,35.38,0.0,0.0
2017-07-06 21:00:00,32.89,0.0,0.0
2017-07-06 22:00:00,28.86,0.0,0.0
2017-07-06 23:00:00,24.11,0.0,0.0
