Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-07-04 00:00:00,26.76,0.0,0.0
2017-07-04 01:00:00,20.97,0.0,0.0
2017-07-04 02:00:00,17.89,0.0,0.0
2017-07-04 03:00:00,16.26,0.0,0.0
2017-07-04 04:00:00,15.7,0.0,0.0
2017-07-04 05:00:00,12.34,117.647058823529,100.0
2017-07-04 06:00:00,14.37,117.647058823529,200.0
2017-07-04 07:00:00,17.18,0.0,200.0
2017-07-04 08:00:00,21.04,0.0,200.0
2017-07-04 09:00:00,23.82,0.0,200.0
2017-07-04 10:00:00,29.88,0.0,200.0
2017-07-04 11:00:00,25.58,0.0,200.0
2017-07-04 12:00:00,31.05,0.0,200.0
2017-07-04 13:00:00,32.38,0.0,200.0
2017-07-04 14:00:00,33.89,0.0,200.0
2017-07-04 15:00:00,34.87,0.0,200.0
2017-07-04 16:00:00,36.37,-117.647058823529,100.0
2017-07-04 17:00:00,37.29,-117.647058823529,0.0
2017-07-04 18:00:00,36.08,0.0,0.0
2017-07-04 19:00:00,34.88,0.0,0.0
2017-07-04 20:00:00,34.2,0.0,0.0
2017-07-04 21:00:00,30.14,0.0,0.0
2017-07-04 22:00:00,27.52,0.0,0.0
2017-07-04 23:00:00,23.83,0.0,0.0
